smiles,smilesid,docking_score
CC(C)(C)c1ccccc1C(=O)N1C[C@H]2CN(C(=O)C[C@H](O)CC3CC3)C[C@H]2C1,S223,-9.74804
Cc1csc(C2(NC(=O)c3cnc(C4CCOCC4)[nH]c3=O)CCC2)n1,S221,-7.48605
O=S(=O)(c1cccnc1O)N1CCCNC(c2ccccc2)C1,S224,-6.988
CCN(C1CCCCC1)S(=O)(=O)CCNC(=O)c1cc(C#N)ccn1,S226,-8.1314
CCc1ncncc1C(=O)N1CCCN(C(=O)C[C@H](C)F)C(c2ccccc2)C1,S225,-5.12012
Cc1cc(Cl)cc(F)c1NC(=O)C1CCOCCN1,S230,-7.17167
O=C(CC(c1ccc(F)cc1)C(F)F)NC1CC2(CCN(C(=O)C3CC3)C2)C1,S228,-9.52254
Cc1nn(Cc2ccccc2)c(C)c1S(=O)(=O)N1CCNc2cncnc21,S227,-5.1884
CNC(=O)CCN(C)C(=O)CN(C)C(=O)[C@H]1Cc2c(C)cccc2CN1,S229,-7.92955
Cn1cc(-c2cccc(C(=O)NC3(C)CN(C(=O)[C@H]4C[C@@H]4C(F)F)C3)n2)cn1,S232,-7.44493
CC(Cc1cnccn1)NCC1CCS(=O)(=O)C1(C)C,S238,-7.32909
CC(NC(=O)OC(C)(C)C)C1(CNC(C)(C)CCCO)CC1,S235,-6.12261
COC(=O)[C@H]1CC[C@@H](C(=O)N(C)CC(C)N(C)C(=O)c2cc[nH]c(=O)c2)O1,S233,-8.57327
CC(C)(C)C(CCc1ccccc1)NC(=O)NC1=NOCC1,S231,-8.18122
CCN1CCC(N(C)C(=O)CCC(=O)NCC(=O)c2ccn[nH]2)CC1,S237,-8.56461
Cc1c(C(=O)NCc2ccc3nccnc3c2)cc(-c2ccccc2)n1C,S234,-9.9834
CC(C)(C)OC(=O)NCC1CN(S(=O)(=O)N(CCO)Cc2ccccc2)C1,S239,-8.52351
CC1(C)CC(F)(F)CCC1C(=O)N1CC2(C1)CN(C(=O)C1CCOC1(C)C)C2,S240,-5.65227
C[C@H](C(=O)NC1CC(=O)N(c2ccccc2F)C1)c1cccc(C(F)(F)F)c1,S241,-9.85326
CC(O)CS(C)(=O)=NC(=O)c1cnc(C(C)C)n1C,S243,-7.41863
C=Cc1ccc(CCNC(=O)NC2CCN(c3cccnn3)C2)cc1,S244,-9.23832
Nc1cc(Cl)sc1C(=O)Nc1nccs1,S248,-6.65275
CC(C)[C@@H]1CCC[C@H]1C(=O)N[C@H]1C[C@H](NC(=O)c2ccncc2N(C)C)C[C@@H]1O,S236,-9.2612
O=C1C(NCc2ccc(Oc3cccc(F)c3)cc2)CCCN1C1CC1,S242,-9.59835
CC(C)c1ncc(C(=O)N2CCOCC23CNCCOC3)n1C,S246,-5.41541
CC1(C)Cc2cc(CN3CCCCC34CCS(=O)(=O)CC4)ccc2O1,S247,-8.79836
C[C@H]1CN(C(=O)c2ccc(C(N)=O)[nH]2)C[C@H]1NC(=O)CN1CCSCC1,S245,-8.42583
COCC(CC(C)C)C(=O)OCC(C)(C)N1CCNC1=O,S256,-7.22918
CN(C)C1(C(=O)NC2CN(C(=O)c3c[nH]c4cc(O)ccc34)C2)CCCCC1,S249,-9.24921
